agent_id,t,x,y,dmin,episode_return,ema_return,recent_mean,collected,since_last_collect,pos_regret_sum,regret_max,action_dist
13,50,3.1273,1.8633,1.1356,-0.671819,-0.008934,-0.013436,0,0,0.082083,0.041892,"[0.42, 0.08, 0.2, 0.18, 0.12]"
13,100,3.8473,2.3319,1.079,-1.290512,-0.011154,-0.012905,0,0,0.241096,0.093764,"[0.32, 0.13, 0.28, 0.16, 0.11]"
13,150,4.6347,1.9539,1.9408,-2.10287,-0.014418,-0.014019,0,0,0.058197,0.04059,"[0.293333, 0.146667, 0.286667, 0.153333, 0.12]"
13,200,5.3867,2.1121,1.8415,-2.713,-0.012655,-0.013565,0,0,0.232581,0.085788,"[0.275, 0.205, 0.25, 0.15, 0.12]"
13,250,5.6993,1.1812,2.4421,-3.393123,-0.013613,-0.013607,0,0,0.114623,0.05093,"[0.308, 0.208, 0.244, 0.132, 0.108]"
13,300,6.1168,0.3871,2.4795,-4.010603,-0.012821,-0.0136,0,0,0.069864,0.04217,"[0.286667, 0.226667, 0.25, 0.13, 0.106667]"
13,350,7.1052,0.0162,2.135,-4.531709,-0.011387,-0.012144,0,0,0.094906,0.065094,"[0.294286, 0.237143, 0.237143, 0.128571, 0.102857]"
13,400,8.0847,0.0728,1.3029,-4.965277,-0.009782,-0.011261,0,0,0.088367,0.035817,"[0.29, 0.24, 0.245, 0.1225, 0.1025]"
13,450,9.0159,-0.486,1.4861,-5.541918,-0.011423,-0.010744,0,0,0.045957,0.021986,"[0.293333, 0.235556, 0.262222, 0.113333, 0.095556]"
13,500,9.6419,-0.7027,1.8197,-6.248638,-0.013112,-0.01119,0,0,0.073441,0.045305,"[0.27, 0.248, 0.264, 0.116, 0.102]"
13,550,9.584,-1.6026,2.6673,-6.998166,-0.014254,-0.012332,0,0,0.068469,0.043889,"[0.261818, 0.252727, 0.274545, 0.110909, 0.1]"
13,600,9.9963,-2.4563,3.5971,-7.744117,-0.014566,-0.013894,0,0,0.209947,0.108522,"[0.25, 0.265, 0.281667, 0.106667, 0.096667]"
13,650,10.5342,-3.2251,4.495,-8.523707,-0.015102,-0.014909,0,0,0.039451,0.019725,"[0.247692, 0.264615, 0.284615, 0.109231, 0.093846]"
13,700,9.8613,-3.5777,4.658,-9.176311,-0.013691,-0.014638,0,0,0.024063,0.014182,"[0.238571, 0.265714, 0.29, 0.104286, 0.101429]"
13,750,9.4655,-4.4071,5.4271,-9.910128,-0.014474,-0.01456,0,0,0.14623,0.078279,"[0.238667, 0.276, 0.282667, 0.104, 0.098667]"
13,800,9.9425,-5.0213,6.0946,-10.653634,-0.014602,-0.014548,0,0,0.032385,0.010795,"[0.22625, 0.27375, 0.295, 0.10875, 0.09625]"
13,850,9.5094,-5.8678,6.8866,-11.412035,-0.014664,-0.014442,0,0,0.204648,0.082503,"[0.235294, 0.267059, 0.294118, 0.105882, 0.097647]"
13,900,8.9623,-6.5567,7.5568,-12.126065,-0.014408,-0.014749,0,0,0.059127,0.035945,"[0.227778, 0.275556, 0.295556, 0.103333, 0.097778]"
13,950,8.0653,-6.5658,7.6234,-12.699378,-0.012517,-0.013946,0,0,0.237441,0.093894,"[0.222105, 0.281053, 0.3, 0.098947, 0.097895]"
13,1000,8.1122,-6.0183,7.0742,-13.229551,-0.010908,-0.01288,0,0,0.090702,0.053032,"[0.224, 0.275, 0.3, 0.097, 0.104]"
13,1050,8.9368,-5.0836,6.0839,-13.581482,-0.008358,-0.010847,0,0,0.353366,0.163692,"[0.235238, 0.272381, 0.29619, 0.094286, 0.101905]"
13,1100,9.5637,-4.1446,5.1754,-13.969785,-0.008136,-0.009219,0,0,0.11245,0.067652,"[0.241818, 0.270909, 0.292727, 0.093636, 0.100909]"
13,1150,10.4907,-3.4494,4.6925,-14.413203,-0.008558,-0.008569,0,0,0.261585,0.149948,"[0.246087, 0.270435, 0.294783, 0.090435, 0.098261]"
13,1200,11.0948,-2.9857,4.5027,-14.925237,-0.009715,-0.008478,0,0,0.016,0.004,"[0.243333, 0.274167, 0.2975, 0.09, 0.095]"
13,1250,11.3326,-1.9677,3.7746,-15.329636,-0.008929,-0.008741,0,0,0.030635,0.009365,"[0.2456, 0.2744, 0.2984, 0.088, 0.0936]"
13,1300,11.6305,-0.9827,3.2941,-15.79352,-0.009068,-0.009119,0,0,0.016,0.004,"[0.246923, 0.278462, 0.295385, 0.085385, 0.093846]"
13,1350,11.096,-0.1995,2.415,-16.207704,-0.008483,-0.008973,0,0,0.275264,0.118978,"[0.245926, 0.279259, 0.295556, 0.085926, 0.093333]"
