agent_id,t,x,y,dmin,episode_return,ema_return,recent_mean,collected,since_last_collect,pos_regret_sum,regret_max,action_dist
15,50,6.0232,0.7667,2.33,-0.560306,-0.007115,-0.011206,0,0,0.279217,0.13039,"[0.18, 0.26, 0.24, 0.14, 0.18]"
15,100,6.4144,1.7081,1.4184,-0.957991,-0.0075,-0.00958,0,0,0.174301,0.074003,"[0.25, 0.29, 0.22, 0.1, 0.14]"
15,150,5.8533,2.467,1.2645,-1.52722,-0.010327,-0.010181,0,0,0.135929,0.067619,"[0.24, 0.32, 0.213333, 0.093333, 0.133333]"
15,200,5.1596,3.0475,1.2702,-2.118362,-0.011114,-0.010592,0,0,0.051157,0.027028,"[0.215, 0.325, 0.24, 0.095, 0.125]"
15,250,4.2029,3.37,0.6619,-2.596687,-0.009805,-0.010182,0,0,0.165963,0.067409,"[0.236, 0.304, 0.248, 0.096, 0.116]"
15,300,3.6303,4.308,1.4519,2.665298,0.045086,0.018116,1,36,0.122984,0.062261,"[0.256667, 0.293333, 0.246667, 0.093333, 0.11]"
15,350,2.7614,4.655,1.6721,2.061271,0.008576,0.017942,1,86,0.107211,0.065327,"[0.24, 0.302857, 0.265714, 0.088571, 0.102857]"
15,400,2.3907,5.6331,2.7026,1.255157,-0.007301,0.016868,1,136,0.071567,0.035929,"[0.2525, 0.2875, 0.265, 0.095, 0.1]"
15,450,2.4448,6.266,3.3129,0.57311,-0.011032,0.015849,1,186,0.128442,0.095815,"[0.228889, 0.275556, 0.311111, 0.093333, 0.091111]"
15,500,3.4466,6.0073,3.6894,-0.0822,-0.011377,-0.013737,1,236,0.321071,0.147167,"[0.24, 0.268, 0.31, 0.092, 0.09]"
15,550,4.2586,5.6516,3.055,-0.535324,-0.009843,-0.012983,1,286,0.244146,0.106136,"[0.243636, 0.267273, 0.309091, 0.092727, 0.087273]"
15,600,5.2367,6.156,4.9908,-1.492478,-0.017168,-0.013738,1,336,0.145521,0.057756,"[0.253333, 0.266667, 0.303333, 0.091667, 0.085]"
15,650,6.1748,6.0559,4.4477,-1.933852,-0.011551,-0.012535,1,386,0.099536,0.046294,"[0.26, 0.258462, 0.310769, 0.087692, 0.083077]"
15,700,6.7024,5.0759,3.3384,-2.291989,-0.008636,-0.011049,1,436,0.252078,0.10731,"[0.268571, 0.257143, 0.304286, 0.087143, 0.082857]"
15,750,7.5042,4.2819,2.3352,-2.671347,-0.007991,-0.01068,1,486,0.0,0.0,"[0.276, 0.254667, 0.3, 0.086667, 0.082667]"
15,800,8.4575,3.9062,1.9603,-3.186383,-0.00981,-0.00847,1,536,0.153286,0.057194,"[0.28375, 0.255, 0.29125, 0.08875, 0.08125]"
15,850,9.3208,4.2988,2.6512,-3.944562,-0.01311,-0.010054,1,586,0.141256,0.061876,"[0.282353, 0.251765, 0.291765, 0.094118, 0.08]"
15,900,10.0872,5.0312,3.6803,-4.710371,-0.014413,-0.012092,1,636,0.031399,0.015306,"[0.283333, 0.252222, 0.292222, 0.092222, 0.08]"
15,950,10.8582,5.1366,4.2435,-5.453016,-0.014585,-0.013908,1,686,0.128391,0.067041,"[0.28, 0.254737, 0.289474, 0.089474, 0.086316]"
15,1000,11.2988,4.2391,3.9719,-5.968691,-0.011849,-0.013912,1,736,0.198553,0.067902,"[0.277, 0.257, 0.292, 0.089, 0.085]"
15,1050,12.1715,3.9121,4.3057,-6.625454,-0.012852,-0.013404,1,786,0.075288,0.046765,"[0.272381, 0.260952, 0.292381, 0.090476, 0.08381]"
15,1100,13.1015,4.2474,5.2314,-7.390597,-0.01451,-0.013401,1,836,0.07375,0.050395,"[0.271818, 0.266364, 0.288182, 0.089091, 0.084545]"
15,1150,13.723,4.9005,6.1254,-8.109401,-0.014463,-0.013282,1,886,0.127014,0.077466,"[0.261739, 0.273913, 0.294783, 0.086957, 0.082609]"
15,1200,14.4928,5.0482,6.8234,-8.879003,-0.015272,-0.014552,1,936,0.025211,0.016851,"[0.255833, 0.274167, 0.296667, 0.085833, 0.0875]"
15,1250,15.2489,4.2833,7.059,-9.496115,-0.013514,-0.014353,1,986,0.107427,0.069575,"[0.26, 0.2704, 0.2976, 0.0864, 0.0856]"
15,1300,15.5982,3.3678,7.0102,-10.056359,-0.012456,-0.013329,1,1036,0.107147,0.04964,"[0.261538, 0.272308, 0.295385, 0.086154, 0.084615]"
15,1350,16.2923,2.6124,7.4684,-10.687994,-0.012432,-0.012893,1,1086,0.218709,0.107062,"[0.259259, 0.274815, 0.298519, 0.083704, 0.083704]"
