agent_id,t,x,y,dmin,episode_return,ema_return,recent_mean,collected,since_last_collect,pos_regret_sum,regret_max,action_dist
4,50,7.2906,11.0058,2.6354,-0.569301,-0.007379,-0.011386,0,0,0.133098,0.059042,"[0.28, 0.22, 0.24, 0.1, 0.16]"
4,100,6.4255,10.6094,3.0476,-1.271738,-0.011612,-0.012717,0,0,0.047974,0.038581,"[0.28, 0.24, 0.23, 0.11, 0.14]"
4,150,6.2184,9.6085,2.4003,-1.72227,-0.009769,-0.011482,0,0,0.236549,0.108944,"[0.273333, 0.266667, 0.24, 0.106667, 0.113333]"
4,200,5.9456,8.6285,1.94,-2.23022,-0.010081,-0.011151,0,0,0.075788,0.036636,"[0.29, 0.245, 0.25, 0.105, 0.11]"
4,250,5.2748,7.9075,1.9493,-2.842068,-0.01165,-0.011364,0,0,0.0988,0.061297,"[0.288, 0.244, 0.252, 0.108, 0.108]"
4,300,4.6943,7.0624,1.6833,-3.358875,-0.010901,-0.010436,0,0,0.223348,0.080596,"[0.286667, 0.253333, 0.256667, 0.1, 0.103333]"
4,350,4.4666,6.1524,1.2699,-3.896184,-0.010351,-0.01087,0,0,0.233438,0.090236,"[0.285714, 0.271429, 0.234286, 0.097143, 0.111429]"
4,400,4.9378,5.2245,1.621,0.433578,0.074981,0.013319,1,6,7.170644,7.170644,"[0.2925, 0.2675, 0.23, 0.1025, 0.1075]"
4,450,5.4641,4.496,0.7302,0.021747,0.022135,0.014319,1,56,0.0,0.0,"[0.302222, 0.253333, 0.237778, 0.097778, 0.108889]"
4,500,6.3294,3.6851,2.3728,2.133218,0.029015,0.02746,2,33,0.373705,0.1545,"[0.316, 0.246, 0.242, 0.094, 0.102]"
4,550,6.8602,2.814,1.4006,1.727659,0.005323,0.028119,2,83,0.145999,0.063576,"[0.314545, 0.241818, 0.247273, 0.094545, 0.101818]"
4,600,7.011,1.8455,1.001,1.19759,-0.005111,0.00382,2,133,0.084709,0.046573,"[0.313333, 0.245, 0.243333, 0.091667, 0.106667]"
4,650,6.9455,1.1615,1.3472,0.518343,-0.010208,0.002483,2,183,0.175495,0.105218,"[0.296923, 0.261538, 0.241538, 0.093846, 0.106154]"
4,700,8.0235,1.1939,0.8064,0.076508,-0.009389,-0.010284,2,233,0.030405,0.009595,"[0.295714, 0.268571, 0.242857, 0.091429, 0.101429]"
4,750,8.9628,1.7578,0.7587,-0.473953,-0.010558,-0.011008,2,283,0.306324,0.129526,"[0.297333, 0.269333, 0.245333, 0.086667, 0.101333]"
4,800,9.6296,2.0503,1.2245,-1.117117,-0.012212,-0.011574,2,333,0.02229,0.00743,"[0.295, 0.28375, 0.2375, 0.085, 0.09875]"
4,850,9.5559,2.8947,1.7948,-1.801179,-0.012989,-0.011598,2,383,0.151367,0.076181,"[0.278824, 0.289412, 0.251765, 0.085882, 0.094118]"
4,900,8.7789,3.3805,1.5851,-2.319231,-0.01113,-0.011979,2,433,0.147034,0.057157,"[0.27, 0.298889, 0.254444, 0.084444, 0.092222]"
4,950,8.1022,3.7903,1.7933,-2.980863,-0.012892,-0.012535,2,483,0.120009,0.060645,"[0.263158, 0.289474, 0.267368, 0.089474, 0.090526]"
4,1000,8.4027,4.5995,2.6305,-3.748306,-0.014543,-0.013156,2,533,0.081941,0.039594,"[0.261, 0.286, 0.272, 0.088, 0.093]"
4,1050,9.0061,5.1653,3.3213,-4.486478,-0.014692,-0.013426,2,583,0.0,0.0,"[0.257143, 0.287619, 0.272381, 0.086667, 0.09619]"
4,1100,10.0543,5.473,4.5956,-5.321324,-0.016404,-0.01501,2,633,0.025135,0.008378,"[0.265455, 0.285455, 0.267273, 0.085455, 0.096364]"
4,1150,11.0787,5.6396,5.084,-5.999017,-0.014643,-0.015091,2,683,0.066196,0.034671,"[0.266957, 0.287826, 0.265217, 0.083478, 0.096522]"
4,1200,11.4179,6.4324,5.9462,-6.761457,-0.014819,-0.015066,2,733,0.156513,0.084758,"[0.2625, 0.291667, 0.265833, 0.086667, 0.093333]"
4,1250,11.6026,7.2714,6.79,-7.530213,-0.015273,-0.015219,2,783,0.030535,0.020647,"[0.2592, 0.2864, 0.2728, 0.0888, 0.0928]"
4,1300,12.3259,7.099,6.9469,-8.151584,-0.013201,-0.014151,2,833,0.194962,0.102672,"[0.25, 0.287692, 0.280769, 0.087692, 0.093846]"
4,1350,13.2066,6.8197,7.1809,-8.788387,-0.012974,-0.013947,2,883,0.118452,0.059268,"[0.246667, 0.288889, 0.283704, 0.088889, 0.091852]"
