agent_id,t,x,y,dmin,episode_return,ema_return,recent_mean,collected,since_last_collect,pos_regret_sum,regret_max,action_dist
1,50,9.8974,9.5179,6.663,-0.462574,-0.005907,-0.009251,0,0,0.110142,0.047038,"[0.3, 0.22, 0.26, 0.06, 0.16]"
1,100,9.2503,10.2661,6.765,-1.062975,-0.0099,-0.01063,0,0,0.178661,0.116918,"[0.28, 0.19, 0.34, 0.08, 0.11]"
1,150,9.5525,11.1126,7.5478,-1.789535,-0.012785,-0.01193,0,0,0.073305,0.027243,"[0.233333, 0.253333, 0.333333, 0.08, 0.1]"
1,200,9.8278,11.6262,8.1005,-2.580069,-0.014752,-0.0129,0,0,0.140712,0.077514,"[0.22, 0.26, 0.3, 0.07, 0.15]"
1,250,9.9727,12.081,8.5236,-3.274691,-0.01393,-0.014061,0,0,0.020074,0.006691,"[0.2, 0.292, 0.284, 0.088, 0.136]"
1,300,9.3259,12.6123,8.4567,-3.911311,-0.01297,-0.014242,0,0,0.142339,0.060787,"[0.223333, 0.283333, 0.26, 0.106667, 0.126667]"
1,350,8.5598,12.0036,7.4798,-4.315939,-0.009711,-0.012632,0,0,0.417323,0.18055,"[0.231429, 0.274286, 0.265714, 0.108571, 0.12]"
1,400,7.7549,11.374,6.4607,-4.722119,-0.008662,-0.01071,0,0,0.121837,0.050467,"[0.2475, 0.2675, 0.2575, 0.1125, 0.115]"
1,450,6.7725,10.7749,5.3369,-5.067349,-0.007665,-0.008963,0,0,0.073362,0.030991,"[0.268889, 0.251111, 0.26, 0.111111, 0.108889]"
1,500,5.7739,10.3238,4.3293,-5.435828,-0.007409,-0.007623,0,0,0.171074,0.059245,"[0.28, 0.25, 0.26, 0.106, 0.104]"
1,550,5.0658,10.7926,4.3187,-6.003727,-0.010313,-0.008439,0,0,0.137072,0.077205,"[0.274545, 0.245455, 0.276364, 0.1, 0.103636]"
1,600,5.4775,11.4999,5.1368,-6.767348,-0.013423,-0.010226,0,0,0.200246,0.093147,"[0.261667, 0.245, 0.29, 0.106667, 0.096667]"
1,650,5.7614,12.2953,5.972,-7.574386,-0.015,-0.012535,0,0,0.12659,0.081584,"[0.256923, 0.241538, 0.292308, 0.109231, 0.1]"
1,700,6.4566,12.9058,6.843,-8.328574,-0.015043,-0.014464,0,0,0.229261,0.095774,"[0.25, 0.25, 0.294286, 0.107143, 0.098571]"
1,750,6.305,13.5561,7.342,-9.068377,-0.014785,-0.015323,0,0,0.030946,0.019355,"[0.238667, 0.258667, 0.292, 0.112, 0.098667]"
1,800,5.7319,14.4918,7.9744,-9.734855,-0.013865,-0.014838,0,0,0.239306,0.113347,"[0.24, 0.25625, 0.30125, 0.10875, 0.09375]"
1,850,5.6194,15.2848,8.689,-10.437784,-0.013734,-0.014317,0,0,0.153318,0.121108,"[0.230588, 0.269412, 0.302353, 0.107059, 0.090588]"
1,900,4.4689,15.1777,8.3086,-10.911691,-0.011083,-0.012916,0,0,0.008676,0.002169,"[0.24, 0.266667, 0.301111, 0.104444, 0.087778]"
1,950,3.7125,15.2725,8.3031,-11.5306,-0.011518,-0.012311,0,0,0.203806,0.123134,"[0.238947, 0.271579, 0.294737, 0.107368, 0.087368]"
1,1000,3.2961,14.3966,7.4025,-11.910478,-0.008991,-0.010878,0,0,0.034567,0.014838,"[0.235, 0.275, 0.298, 0.105, 0.087]"
1,1050,3.2751,13.3423,6.3483,-12.269634,-0.007835,-0.009159,0,0,0.139956,0.051496,"[0.238095, 0.278095, 0.295238, 0.101905, 0.086667]"
1,1100,2.7616,12.4978,5.503,-12.65057,-0.007761,-0.008694,0,0,0.016,0.004,"[0.235455, 0.281818, 0.298182, 0.099091, 0.085455]"
1,1150,2.6259,11.3127,4.3289,-12.995756,-0.007275,-0.007326,0,0,0.139867,0.059603,"[0.247826, 0.278261, 0.290435, 0.098261, 0.085217]"
1,1200,3.0875,10.2507,3.2519,-13.340358,-0.007281,-0.007149,0,0,0.064895,0.022072,"[0.253333, 0.2775, 0.288333, 0.096667, 0.084167]"
1,1250,2.687,9.1667,2.1892,-13.697821,-0.007214,-0.007141,0,0,0.175098,0.081815,"[0.2608, 0.2712, 0.2888, 0.096, 0.0832]"
1,1300,1.7324,8.5121,1.9731,-14.214603,-0.009407,-0.00782,0,0,0.234123,0.114249,"[0.266154, 0.269231, 0.287692, 0.095385, 0.081538]"
1,1350,1.3104,7.566,1.7818,-14.756346,-0.010336,-0.008803,0,0,0.278374,0.100641,"[0.268148, 0.268148, 0.287407, 0.095556, 0.080741]"
1,1400,1.416,6.6391,1.6246,-15.294894,-0.010472,-0.009773,0,0,0.22049,0.086288,"[0.267857, 0.270714, 0.286429, 0.095714, 0.079286]"
1,1450,1.5288,5.6637,1.9875,-15.957477,-0.012427,-0.011298,0,0,0.050206,0.028684,"[0.268276, 0.270345, 0.286207, 0.095862, 0.07931]"
1,1500,2.3877,5.7514,1.6313,-16.45624,-0.010802,-0.011208,0,0,0.301719,0.120185,"[0.264, 0.275333, 0.286667, 0.096667, 0.077333]"
1,1550,3.0522,6.4802,1.0625,-16.91247,-0.009767,-0.010781,0,0,0.043652,0.016348,"[0.262581, 0.277419, 0.287097, 0.095484, 0.077419]"
1,1600,3.655,6.6906,7.8072,-18.941417,-0.022833,-0.018233,0,0,0.106195,0.05236,"[0.256875, 0.27625, 0.288125, 0.098125, 0.080625]"
1,1650,4.841,6.3819,6.8016,-19.310302,-0.013009,-0.016764,0,0,0.260639,0.111966,"[0.264242, 0.272727, 0.285455, 0.09697, 0.080606]"
1,1700,5.5706,5.6663,5.791,-19.688171,-0.00961,-0.01616,0,0,0.071664,0.03876,"[0.267059, 0.271176, 0.284706, 0.095882, 0.081176]"
1,1750,6.3037,4.8346,4.6876,-20.017507,-0.007766,-0.015525,0,0,0.170076,0.07232,"[0.268571, 0.272571, 0.284, 0.094286, 0.080571]"
1,1800,7.0858,4.0701,3.618,-20.363571,-0.00742,-0.007111,0,0,0.076988,0.0297,"[0.27, 0.272222, 0.284444, 0.093333, 0.08]"
1,1850,7.6247,3.2449,2.6327,-20.746517,-0.007593,-0.007181,0,0,0.182968,0.076361,"[0.26973, 0.26973, 0.287568, 0.093514, 0.079459]"
1,1900,7.8437,2.1773,1.6502,-21.100012,-0.00723,-0.007059,0,0,0.301426,0.141802,"[0.272105, 0.271579, 0.285263, 0.092632, 0.078421]"
1,1950,8.6656,1.4107,0.5297,-21.445913,-0.007213,-0.007142,0,0,0.08136,0.035116,"[0.274359, 0.271282, 0.284103, 0.092308, 0.077949]"
